age,monthly_spending,support_calls,months_as_customer,churn
69.41,531.46,9,22.89,1
60.55,518.27,7,10.04,1
56.56,754.26,3,40.07,1
42.38,653.95,6,51.06,1
25.95,72.59,11,5.97,1
65.87,92.04,5,35.16,1
35.75,561.32,0,56.54,0
20.61,463.26,4,54.11,1
35.8,271.16,12,58.87,0
59.31,405.86,9,32.83,0
50.38,694.22,10,59.26,1
57.04,752.62,11,18.09,1
59.27,527.04,1,26.62,0
29.02,377.56,3,13.52,0
66.04,280.09,0,34.19,0
40.78,493.63,0,28.84,0
51.23,317.54,10,18.11,0
18.12,529.48,12,54.38,1
69.66,625.15,2,23.28,0
32.61,106.17,9,20.37,1
21.23,50.91,6,10.29,1
41.83,230.44,0,32.16,0
24.71,810.33,11,22.51,1
25.92,599.35,11,27.22,1
50.88,196.17,7,17.76,1
38.43,806.72,9,55.18,1
65.94,449.46,5,67.03,0
34.6,454.68,10,36.35,1
55.76,845.21,5,46.65,1
41.98,100.56,12,62.57,1
52.32,232.9,0,71.92,0
49.18,547.91,2,44.56,0
42.58,216.16,12,64.17,1
67.4,627.6,3,65.51,0
35.82,231.98,4,57.19,0
27.22,134.28,10,33.73,1
53.26,225.94,2,6.76,0
61.99,409.32,6,2.12,0
20.09,199.72,3,34.88,1
41.38,164.49,2,36.1,0
64.41,781.24,12,29.92,1
56.98,322.34,2,41.34,0
69.57,356.64,1,40.2,0
45.63,96.98,8,60.4,0
52.32,353.76,11,8.71,0
33.73,275.09,1,16.99,0
67.27,568.91,9,57.3,1
37.05,224.58,7,61.2,0
56.4,805.11,10,71.63,1
38.96,840.22,1,62.98,0
47.21,134.86,12,64.18,1
55.43,141.29,8,23.32,1
44.46,148.03,10,29.52,1
65.17,576.63,4,20.03,1
39.8,153.67,12,44.05,1
51.65,774.52,8,67.66,0
35.8,691.13,1,25.47,0
39.22,746.84,11,40.55,1
40.88,497.15,10,22.04,1
24.54,897.18,3,13.06,1
22.77,87.55,7,14.86,1
52.71,391.08,5,5.11,1
52.09,325.35,7,68.4,0
52.47,856.35,12,29.6,1
19.03,540.33,11,60.22,0
34.98,735.26,2,49.37,0
28.29,194.79,12,14.63,1
58.46,881.84,5,13.46,1
62.75,473.84,9,58.65,0
30.83,469.62,9,19.79,1
52.73,875.25,6,65.84,0
24.73,373.62,5,10.94,1
32.31,387.9,5,49.12,0
25.21,547.04,11,58.83,1
32.74,158.84,5,17.7,0
53.09,322.92,3,20.61,0
65.34,214.23,4,69.48,0
28.53,137.79,2,19.79,0
46.19,786.22,5,31.53,0
54.47,550.93,1,31.71,0
67.55,354.87,1,18.97,0
49.72,397.37,9,56.08,1
31.27,416.79,1,55.8,0
50.52,588.18,7,27.86,1
34.67,837.75,10,60.29,1
68.76,842.86,9,16.13,1
38.78,382.77,5,1.31,1
53.64,329.87,2,41.55,0
19.21,433.39,12,71.58,0
38.8,532.74,10,3.74,1
63.51,442.55,7,15.77,1
49.73,609.94,1,37.84,0
41.09,521.24,0,58.51,0
66.67,322.61,4,7.32,1
62.41,343.87,2,29.06,0
34.76,371.8,11,54.04,1
46.32,130.44,2,27.38,0
43.47,191.15,3,14.41,1
50.87,664.65,12,14.88,1
35.37,380.73,10,30.11,1
30.7,232.36,2,35.04,0
65.46,528.27,4,62.19,1
66.04,692.21,6,46.6,0
61.85,268.81,8,50.02,1
68.87,752.77,12,70.79,0
56.74,838.38,11,30.24,0
57.76,557.79,12,29.64,1
57.65,618.61,0,66.56,0
42.99,94.69,3,18.46,1
41.74,853.69,7,52.82,1
30.49,383.61,0,54.57,0
51.53,835.32,4,7.94,0
33.04,542.13,1,34.24,1
31.41,53.93,12,15.24,1
48.47,82.76,0,14.16,0
39.32,628.36,1,33.93,1
29.38,528.27,2,21.55,1
60.43,72.55,1,57.52,0
62.75,681.94,7,65.44,0
26.72,774.32,4,57.99,1
18.39,471.95,11,19.89,1
35.48,445.89,3,20.46,0
59.47,54.65,6,19.09,0
61.64,718.65,8,10.59,0
25.19,331.11,8,68.01,1
58.27,796.95,10,29.55,1
24.02,367.1,2,16.95,0
38.28,530.32,6,61.11,0
69.93,279.79,10,29.34,1
28.01,186.5,11,3.49,1
26.01,708.67,8,12.5,1
39.99,472.1,8,46.39,0
50.22,506.01,11,56.59,1
66.51,870.6,8,15.98,1
69.0,869.04,12,66.14,1
21.62,777.3,1,61.42,0
25.18,209.47,4,61.24,0
59.12,555.13,1,17.16,0
32.07,796.43,1,4.59,0
64.01,368.29,6,62.59,0
52.5,135.94,2,22.71,0
23.82,739.32,5,44.94,0
61.29,459.5,5,54.96,0
27.17,529.73,8,10.11,1
40.02,884.82,12,56.44,1
46.71,566.13,11,67.63,1
44.04,411.23,4,52.71,0
53.68,364.49,4,32.33,0
51.94,404.98,10,63.24,0
69.59,150.64,1,38.45,0
69.97,725.54,7,53.88,1
44.86,762.06,5,59.26,0
22.95,291.74,2,54.2,0
