area_m2,rooms,building_age,distance_to_center_km,price
46.29,1,0.19,16.31,30199.37
182.71,4,1.81,13.11,559979.65
161.35,3,21.21,17.36,411129.97
168.4,4,28.05,14.19,444116.15
181.63,5,8.35,15.67,491245.46
125.31,4,29.73,2.5,324285.33
144.53,3,2.0,13.32,365147.08
69.46,1,28.03,8.2,107189.51
65.04,1,32.47,10.18,97563.74
161.97,4,27.02,11.95,419365.52
127.44,2,24.43,17.47,250488.11
143.92,3,29.33,17.73,310127.37
178.87,4,1.41,5.54,546449.18
156.08,4,7.06,13.34,369451.46
141.88,2,4.37,13.62,331925.05
142.86,2,17.66,6.56,339930.43
98.19,4,26.08,2.67,204447.61
50.39,1,22.05,1.22,128086.1
121.43,2,29.79,14.1,256633.25
82.55,3,5.43,9.07,196579.11
116.49,5,25.71,17.75,229426.78
194.35,4,6.76,8.64,615949.71
85.94,2,9.48,17.61,128785.42
55.2,2,24.85,7.7,87329.12
94.24,3,34.31,14.39,125030.29
96.38,2,21.4,1.98,220161.45
160.84,4,1.91,10.22,442237.4
142.48,4,21.57,14.54,302494.93
182.18,5,1.48,16.68,513096.93
161.25,4,30.95,14.9,385563.04
116.12,3,24.84,1.15,313731.5
187.45,4,6.06,7.02,583320.77
74.22,2,3.21,1.35,180153.44
48.97,1,6.42,2.41,112976.07
60.76,2,34.3,12.32,63802.7
171.41,4,16.05,12.98,452764.29
125.83,3,27.44,14.04,232978.22
73.22,2,22.27,15.65,87662.95
132.68,3,20.03,13.44,274510.55
71.65,2,5.08,14.52,89913.21
166.86,4,33.11,1.36,477943.0
123.08,3,10.55,4.6,312916.68
111.68,2,20.23,11.38,185570.29
97.76,3,24.49,15.52,159141.07
155.3,4,22.72,0.58,454999.16
108.32,4,32.92,9.51,237595.66
60.34,3,5.2,12.35,124356.74
65.65,2,17.79,1.02,144954.56
213.33,5,14.14,7.52,676067.68
204.0,4,16.6,16.17,573565.16
167.45,5,4.17,12.25,472150.95
91.53,2,4.69,4.66,214376.35
214.61,5,9.73,15.42,690788.33
181.28,3,10.66,6.59,546127.32
170.46,5,14.98,15.43,449159.0
123.64,3,21.38,5.73,267289.64
92.64,1,22.21,10.83,147067.89
61.87,1,14.41,7.45,106063.66
202.96,5,14.31,5.31,644870.04
124.76,3,7.62,16.01,253328.56
80.41,2,20.59,3.78,167855.74
98.54,2,11.1,1.98,222478.36
146.36,3,1.26,6.48,380953.15
75.94,2,14.64,13.06,123272.58
194.91,6,16.59,14.63,566321.41
177.74,2,7.9,17.98,457903.1
170.91,4,20.04,5.69,487190.01
120.62,3,19.8,7.64,252389.96
154.78,4,24.57,2.89,413695.57
147.22,3,22.68,10.56,377369.29
158.72,3,22.84,17.96,342652.19
59.78,2,11.07,12.77,48708.63
117.77,4,27.56,10.92,214970.29
52.28,1,19.22,7.37,77699.66
131.45,4,15.1,16.52,285197.52
102.73,2,21.91,9.2,196187.16
70.29,2,12.62,2.85,174548.25
63.1,1,17.95,6.89,54926.79
147.84,3,25.78,1.68,397259.97
74.85,3,31.02,4.03,173120.38
206.9,5,32.24,0.81,646640.18
146.69,5,17.63,8.43,376249.18
105.7,3,18.21,11.6,196237.92
148.41,4,28.0,6.51,360848.03
48.99,2,11.01,7.86,81657.76
212.75,5,29.31,17.29,651826.55
129.4,4,17.29,13.66,320766.33
181.98,4,4.05,9.96,525187.79
59.48,1,2.52,5.48,154513.01
130.17,3,29.47,16.2,255966.66
130.87,4,1.94,4.61,383534.36
209.12,4,9.82,6.19,670182.07
145.05,4,11.69,16.41,341435.91
127.86,3,6.05,9.77,310919.36
91.72,3,10.99,13.49,227003.92
103.02,3,25.99,10.84,211221.65
136.12,5,0.51,11.94,335730.33
121.81,3,28.95,5.74,291878.36
48.78,1,29.98,4.72,62954.8
189.6,4,13.03,6.14,564029.94
201.83,4,5.38,3.22,670403.34
69.54,1,21.03,15.8,74174.33
141.96,4,4.19,5.46,390709.1
64.0,2,12.77,10.33,105019.48
162.64,3,33.55,14.36,389088.55
94.22,2,34.84,14.22,143424.43
160.4,4,27.02,8.17,383570.6
172.22,3,10.88,8.83,487795.57
179.51,4,24.07,17.91,442671.22
63.85,2,24.69,12.31,55280.38
205.3,6,13.57,14.76,626517.75
85.29,2,22.43,16.29,118766.4
51.55,1,0.38,14.28,54757.24
142.1,4,7.32,3.74,405156.32
109.91,3,18.38,10.34,203991.61
190.21,5,5.73,2.28,603525.81
186.44,6,5.81,11.93,548249.85
100.5,1,29.27,17.22,137003.36
211.76,5,34.62,9.47,654841.92
95.91,3,19.46,8.08,177468.66
135.13,2,29.37,1.13,344959.72
89.79,3,34.66,17.3,120152.22
208.81,5,4.96,2.3,668569.58
73.81,2,15.69,1.22,129333.59
52.86,1,13.74,4.81,96176.99
121.14,3,2.8,1.65,318031.59
218.67,6,26.44,8.46,707270.18
201.04,5,15.18,9.53,618509.83
176.01,4,16.43,5.97,511671.77
